Brewery,Address,zipcode,Phone Number,Yelp Rating,# Reviews,Lat,Lng,url,POP Density,LANDSQMI,Median Income
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
Foothills Brewing,"3800 Kimwell Dr, Winston-Salem, NC 27103",27103,+1-336-997-9484,4.5,26,36.04536,-80.3232,https://www.yelp.com/biz/foothills-brewing-winston-salem-5?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
BJ's Restaurant & Brewhouse,"192 Hanes Mall Circle, Winston-Salem, NC 27103",27103,+1-336-793-2230,3,52,36.0723737,-80.3003323,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-winston-salem?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1789.299152,18.56,"42,289"
